TrendID,TrendName,Description,StartDate,EndDate,ProductGroupID,MarketSegment,GrowthRate,PopularityIndex,Region,CompetitorImpact
null,Trend 1,Thank daughter consumer law agent quite in husband.,11/24/2023,12/28/2022,91,Business Electronics,0.38,2,Australia,Medium
null,Trend 2,Last nature month.,6/10/2023,11/9/2021,166,Business Electronics,0.08,69,North America,High
null,Trend 3,Thought commercial Congress magazine.,4/24/2023,8/12/2022,119,Home Automation,0.17,19,Asia,Low
null,Trend 4,Begin contain law window consumer arrive hit.,12/22/2023,5/8/2023,90,Business Electronics,0.03,84,South America,High
null,Trend 5,Magazine back value still indeed job plan.,4/9/2024,3/16/2023,83,Consumer Electronics,0.18,91,North America,Medium
null,Trend 6,With finish certainly recently.,11/8/2023,11/29/2021,168,Consumer Electronics,0.14,7,Australia,Low
7,Trend 7,Down force have teacher information resource either.,5/12/2021,3/22/2022,53,Business Electronics,0.03,96,North America,High
8,Trend 8,Toward serve bag name.,9/23/2022,9/13/2023,80,Business Electronics,0.18,25,South America,High
9,Trend 9,Most commercial country recognize family information.,12/26/2021,1/19/2023,38,Business Electronics,0.24,38,Europe,Medium
10,Trend 10,School move great manage anything ask.,6/5/2022,5/30/2021,145,Business Electronics,0.46,82,North America,Medium
11,Trend 11,Job goal leader official represent station marriage.,1/28/2024,2/16/2023,4,Gaming,0.38,2,Asia,Medium
12,Trend 12,Meet skin arm.,5/1/2022,6/9/2024,99,Wearable Technology,0.4,1,South America,Low
13,Trend 13,Best successful major involve brother season so.,12/19/2021,12/23/2022,66,Wearable Technology,0.01,33,North America,Medium
14,Trend 14,Network man card girl.,8/23/2020,3/22/2022,42,Consumer Electronics,0.43,89,Africa,Medium
15,Trend 15,Find of sure eight receive recently step property.,7/13/2023,1/31/2024,89,Home Automation,0.26,98,South America,Medium
16,Trend 16,Service tax all consider indeed thing.,6/3/2020,8/30/2022,138,Business Electronics,0.34,16,Europe,Medium
17,Trend 17,Be help American protect.,5/29/2022,5/28/2023,69,Business Electronics,0.19,44,South America,High
18,Trend 18,Out seven often.,11/25/2023,5/10/2020,124,Home Automation,0.37,16,Europe,Low
19,Trend 19,Cause gun body partner.,6/4/2023,11/21/2020,81,Consumer Electronics,0.31,95,South America,High
20,Trend 20,Senior employee indeed involve meeting to visit.,9/15/2023,10/10/2021,1,Business Electronics,0.25,38,Europe,High
21,Trend 21,Different employee sort deal event real church large.,2/6/2021,4/7/2021,95,Business Electronics,0.13,40,Asia,Medium
22,Trend 22,Of father young tax school almost another.,10/6/2022,7/19/2021,60,Home Automation,0.18,64,Australia,Low
23,Trend 23,Visit friend bed trouble trade.,5/17/2021,11/19/2020,179,Gaming,0.43,61,South America,Low
24,Trend 24,Picture hard outside meeting street garden southern.,6/26/2021,2/7/2024,185,Business Electronics,0.45,42,South America,High
25,Trend 25,Finally seek probably set.,8/21/2023,5/23/2020,61,Consumer Electronics,0.16,20,Asia,Medium
26,Trend 26,Represent five power interview candidate which space.,2/24/2021,12/23/2021,115,Gaming,0.24,58,Africa,Low
27,Trend 27,Daughter career ground media defense source.,1/7/2021,3/23/2024,25,Consumer Electronics,0.26,16,Australia,Low
28,Trend 28,Tax cultural example piece sister consider.,2/7/2021,8/16/2022,33,Gaming,0.38,81,South America,Low
29,Trend 29,Sit each PM prepare.,6/14/2023,3/29/2022,55,Consumer Electronics,0.17,59,Asia,Low
30,Trend 30,Third recognize tell realize.,1/16/2020,12/22/2022,90,Gaming,0.13,72,South America,Low
31,Trend 31,Section which tend well discussion.,12/16/2022,12/25/2022,32,Business Electronics,0.41,29,Europe,Low
32,Trend 32,Themselves argue big reality.,10/5/2021,2/16/2024,181,Wearable Technology,0.43,83,Australia,High
33,Trend 33,Skin fight civil interest.,4/28/2020,11/24/2023,159,Home Automation,0.35,24,Africa,Medium
34,Trend 34,Teach summer against that everyone small remember.,10/10/2020,2/18/2022,192,Business Electronics,0.29,94,Europe,Low
35,Trend 35,Without red entire future.,3/26/2020,5/14/2020,140,Business Electronics,0.25,30,North America,Medium
36,Trend 36,Order five office major I tree.,9/4/2023,4/22/2022,185,Wearable Technology,0.27,15,Africa,High
37,Trend 37,We pay voice bad claim indeed.,1/7/2023,9/28/2022,50,Home Automation,0.23,92,North America,Medium
38,Trend 38,Class way past forget lead laugh.,12/12/2021,2/27/2021,41,Gaming,0.06,32,Europe,Medium
39,Trend 39,Have military picture drug behind anything new choice.,7/10/2021,1/26/2024,173,Business Electronics,0.34,12,North America,High
40,Trend 40,Throw evidence office cold office media.,6/19/2022,2/24/2021,189,Gaming,0.1,36,North America,Medium
41,Trend 41,Officer recent standard even mouth our ago.,8/8/2023,11/30/2020,125,Consumer Electronics,0.27,79,Asia,Medium
42,Trend 42,Build citizen sell already appear myself partner.,5/17/2020,1/13/2020,99,Gaming,0.11,15,Asia,Medium
43,Trend 43,Current spend central chair show left one interview.,3/3/2023,9/25/2021,62,Business Electronics,0.48,54,Australia,High
44,Trend 44,Series look realize officer organization almost.,1/5/2024,12/4/2020,125,Home Automation,0.29,85,Europe,High
45,Trend 45,Movie take many million of traditional a.,12/2/2022,11/17/2022,172,Home Automation,0.46,91,Australia,Medium
46,Trend 46,Collection dinner democratic make everybody from within.,2/7/2023,5/11/2020,115,Wearable Technology,0.22,44,Asia,Medium
47,Trend 47,Thing put work black same decide arrive national.,11/17/2021,12/18/2020,27,Consumer Electronics,0.06,37,North America,Low
48,Trend 48,During once suggest born career event cover.,5/10/2022,12/20/2020,82,Business Electronics,0.26,33,Australia,High
49,Trend 49,Suggest compare none.,5/8/2024,9/20/2023,4,Wearable Technology,0.34,56,South America,High
50,Trend 50,Leg agent reach rich military certain cultural activity.,4/19/2020,9/26/2022,139,Gaming,0.12,67,Asia,High
51,Trend 51,Discover country argue next technology a.,7/15/2020,5/31/2023,63,Wearable Technology,0.12,34,Australia,Medium
52,Trend 52,Kid item concern run.,6/5/2022,6/10/2024,100,Business Electronics,0.18,17,North America,Medium
53,Trend 53,Figure focus various probably together challenge.,3/4/2023,4/13/2022,192,Gaming,0.13,10,Europe,Medium
54,Trend 54,Race shake senior writer campaign young.,8/11/2020,11/25/2020,33,Home Automation,0.23,38,Australia,Low
55,Trend 55,White near line TV administration traditional.,6/10/2022,10/6/2022,153,Home Automation,0.17,79,Africa,Medium
56,Trend 56,Mrs ask doctor.,11/23/2021,11/27/2022,85,Wearable Technology,0.22,65,Australia,High
57,Trend 57,Gun difference firm spend.,2/29/2020,3/11/2020,114,Home Automation,0.08,44,Europe,Medium
58,Trend 58,Them sell police.,4/15/2020,1/13/2020,76,Gaming,0.17,15,Australia,Medium
59,Trend 59,Nor experience daughter all carry one garden.,10/29/2020,10/13/2020,158,Home Automation,0.05,91,South America,Medium
60,Trend 60,Several statement type shake middle end.,9/9/2020,4/24/2022,159,Business Electronics,0.26,50,North America,Medium
61,Trend 61,Car firm look gun very.,9/21/2023,3/20/2020,71,Gaming,0.43,51,North America,High
62,Trend 62,Attention hand wrong television.,2/11/2022,10/5/2020,34,Business Electronics,0.05,51,Australia,High
63,Trend 63,Modern power report federal.,6/8/2020,11/4/2021,91,Home Automation,0.43,1,North America,Medium
64,Trend 64,Born coach get local matter walk.,6/3/2022,8/23/2021,120,Business Electronics,0.47,75,Africa,Medium
65,Trend 65,Response here form really interest forward.,10/29/2021,4/1/2021,12,Consumer Electronics,0.31,39,Asia,High
66,Trend 66,Show green past computer seat concern deal.,11/3/2020,12/13/2022,132,Business Electronics,0.21,83,South America,Low
67,Trend 67,Fact executive happen ball.,12/1/2023,4/9/2021,103,Consumer Electronics,0.02,13,Europe,Low
68,Trend 68,Experience investment teacher.,6/27/2022,9/27/2021,130,Home Automation,0.02,91,South America,High
69,Trend 69,Toward cold wide view word man inside anyone.,1/3/2024,6/20/2021,198,Home Automation,0.36,42,North America,Medium
70,Trend 70,Mother medical system.,8/30/2022,6/20/2024,134,Home Automation,0.1,61,Africa,Low
71,Trend 71,Red consider agency rock enjoy speech her.,9/5/2022,1/12/2024,142,Business Electronics,0.43,71,Asia,Medium
72,Trend 72,Represent well there those culture nor.,4/27/2020,7/13/2021,84,Gaming,0.35,38,South America,Medium
73,Trend 73,Population gas win president blue.,5/7/2022,12/29/2021,18,Consumer Electronics,0.41,91,Africa,Medium
74,Trend 74,Election drive white family vote.,12/8/2023,9/2/2023,51,Business Electronics,0.02,32,Asia,Medium
75,Trend 75,Nice mind least serious.,12/10/2022,2/28/2024,163,Wearable Technology,0.28,13,Africa,High
76,Trend 76,See let nice outside artist hard white.,10/29/2020,1/3/2020,2,Home Automation,0.13,31,Europe,Low
77,Trend 77,Growth either production budget end general somebody rise.,6/19/2023,4/7/2023,187,Home Automation,0.49,60,Asia,High
78,Trend 78,Thus fund new skill.,10/30/2021,12/9/2021,193,Home Automation,0.45,83,South America,Medium
79,Trend 79,Day discover summer notice full oil miss.,4/21/2024,7/17/2021,9,Gaming,0.44,28,South America,Medium
80,Trend 80,Former listen tree moment sit.,9/2/2022,3/30/2024,98,Consumer Electronics,0.34,87,Europe,High
81,Trend 81,Mouth effort political long serve.,6/17/2022,7/23/2023,34,Wearable Technology,0.24,63,Africa,Low
82,Trend 82,Run magazine sense within plan surface.,11/24/2022,11/28/2021,199,Wearable Technology,0.11,90,North America,Medium
83,Trend 83,Ok choose begin manage.,2/12/2023,3/27/2020,31,Consumer Electronics,0.48,74,South America,Medium
84,Trend 84,Ok soldier some ball little.,7/2/2021,12/14/2020,15,Gaming,0.08,46,South America,Medium
85,Trend 85,Become order that sister.,2/9/2022,5/22/2023,17,Wearable Technology,0.45,50,South America,Medium
86,Trend 86,Be change which little very.,2/24/2022,4/12/2020,83,Business Electronics,0.29,1,Africa,Low
87,Trend 87,Bed risk big fear religious market institution.,9/27/2022,8/31/2021,132,Consumer Electronics,0.18,4,South America,Low
88,Trend 88,Matter official cause show public too soldier.,6/18/2024,8/3/2022,169,Gaming,0.07,43,North America,Low
89,Trend 89,Paper situation day value specific your evening.,4/5/2023,4/1/2023,99,Business Electronics,0.43,16,Australia,High
90,Trend 90,Gas per point strategy easy send language piece.,1/14/2022,4/28/2021,168,Home Automation,0.12,35,Africa,High
91,Trend 91,Of plan speak three.,7/11/2020,6/5/2024,172,Home Automation,0.18,86,South America,Low
92,Trend 92,Take eight start north whether.,5/14/2023,8/10/2021,124,Consumer Electronics,0.42,50,South America,High
93,Trend 93,Identify room dog support should.,5/30/2024,7/20/2021,157,Home Automation,0.39,63,Asia,Medium
94,Trend 94,Possible local make generation expect low finish.,1/11/2023,4/19/2023,14,Business Electronics,0.14,57,North America,High
95,Trend 95,Mean military make remain resource than turn.,3/8/2023,6/14/2024,130,Business Electronics,0.1,72,North America,High
96,Trend 96,Star child seat sell.,8/7/2023,2/14/2023,99,Home Automation,0.45,31,South America,High
97,Trend 97,Government near inside paper dark item establish.,4/15/2023,10/5/2020,185,Home Automation,0.37,11,Africa,High
98,Trend 98,If me realize contain spring control season.,11/1/2022,3/25/2023,42,Gaming,0.41,49,Africa,High
99,Trend 99,Into deal cover.,4/17/2020,3/17/2021,142,Wearable Technology,0.34,71,North America,Low
100,Trend 100,Officer later health control.,2/24/2020,6/26/2020,23,Business Electronics,0.14,84,Asia,Low
101,Trend 101,Particularly maybe quite girl use improve least.,12/14/2020,9/13/2020,23,Consumer Electronics,0.38,88,Europe,Low
102,Trend 102,Win minute office nothing suddenly should sister true.,1/31/2023,7/24/2021,49,Home Automation,0.35,98,South America,High
103,Trend 103,Main then issue a.,3/16/2020,1/29/2021,5,Home Automation,0.36,68,North America,High
104,Trend 104,Coach wide put although determine sign high.,5/26/2020,7/31/2021,43,Gaming,0.28,19,Europe,High
105,Trend 105,Sense concern worry real it strong.,6/16/2020,2/20/2020,80,Wearable Technology,0.09,13,North America,Medium
106,Trend 106,Total person administration party everyone.,6/4/2022,7/29/2023,10,Wearable Technology,0.45,5,Europe,High
107,Trend 107,Material thing offer another picture.,7/12/2022,2/6/2024,177,Gaming,0.11,66,South America,High
108,Trend 108,Yeah see poor best.,4/28/2023,1/11/2022,113,Consumer Electronics,0.13,55,Asia,Low
109,Trend 109,See team everything believe value.,3/4/2021,4/27/2024,40,Wearable Technology,0.3,36,Africa,High
110,Trend 110,Factor difference deep.,10/8/2023,2/14/2020,3,Gaming,0.31,53,Europe,Low
111,Trend 111,Citizen artist budget system consider sing group.,4/5/2024,4/6/2023,78,Gaming,0.21,40,Africa,Low
112,Trend 112,Her cell discover explain.,9/10/2020,8/16/2023,10,Wearable Technology,0.09,10,Asia,High
113,Trend 113,Avoid eight local college paper country.,10/12/2022,9/2/2021,2,Home Automation,0.3,8,Asia,High
114,Trend 114,Detail seven author data especially item medical.,11/2/2020,8/11/2023,32,Consumer Electronics,0.03,69,North America,Low
115,Trend 115,Visit look several structure memory vote lawyer.,3/18/2024,7/4/2021,128,Gaming,0.46,1,Australia,High
116,Trend 116,First field last politics.,11/10/2020,8/24/2021,45,Gaming,0.1,42,Asia,High
117,Trend 117,Save read practice bring shake.,9/26/2022,9/20/2022,61,Consumer Electronics,0.14,49,Asia,Low
118,Trend 118,Catch group medical likely.,5/6/2021,3/16/2020,139,Business Electronics,0.05,14,Asia,Medium
119,Trend 119,City analysis game administration back work not.,8/21/2023,1/18/2021,124,Business Electronics,0.14,21,North America,High
120,Trend 120,Son nearly north sport serious green.,9/24/2021,6/2/2023,8,Home Automation,0.33,41,Australia,Low
121,Trend 121,Such structure response life these.,9/12/2020,8/8/2023,72,Gaming,0.04,51,South America,Low
122,Trend 122,Mother again game recognize.,11/18/2021,12/14/2023,32,Wearable Technology,0.01,67,Australia,Low
123,Trend 123,Green community vote citizen positive claim.,2/25/2022,2/3/2023,30,Gaming,0.3,31,South America,High
124,Trend 124,Defense test pressure amount home.,7/1/2023,11/10/2022,183,Gaming,0.22,77,North America,Low
125,Trend 125,Trip year benefit institution long economy short seek.,2/15/2022,1/26/2023,87,Consumer Electronics,0.25,18,South America,High
