AccessID,CategoryName,Description,URLPattern,AccessFrequency,AverageSessionDuration,BounceRate,ConversionRate,UserDemographics,DeviceType,TrafficSource,DateRecorded
1,FAQ Page,Theory move many both parent energy all student.,search/category,5210,8.67,59.59,6.49,55+,Mobile,Organic Search,5/20/2024
2,Blog Page,Outside media interesting week remember statement.,wp-content/blog,4584,9.05,75.19,9.81,55+,Tablet,Social,1/16/2024
3,Home Page,Test state not your eat party ahead.,category/list/category,4407,8.55,79.82,9.55,55+,Tablet,Referral,5/31/2024
4,Registration Page,Watch note well everything key site know.,main,9457,1.82,54.88,8.24,18-24,Mobile,Direct,6/21/2024
5,Category Page,Almost cover responsibility watch teacher season reflect.,category,2189,6.51,26.52,1.1,55+,Tablet,Organic Search,3/10/2024
6,Product Page,Bring modern thank as.,tags,6466,1.5,20.69,9.2,55+,Desktop,Organic Search,3/1/2024
7,Home Page,No peace subject.,category/tag/wp-content,6782,4.37,41.92,4.97,55+,Mobile,Paid Search,5/6/2024
8,Checkout Page,Full skill surface customer yard.,blog,8791,7.8,33.43,1.02,25-34,Desktop,Social,1/14/2024
9,Product Page,Evidence lot service center skill notice read.,wp-content,9384,3.53,70.28,7.57,55+,Desktop,Direct,2/15/2024
10,Registration Page,Ok dinner when cover lot improve.,tag,8170,9.21,49.76,4.25,45-54,Mobile,Paid Search,1/16/2024
11,Blog Page,Step nearly than town.,list/tag,2950,2.03,48.4,7.79,55+,Mobile,Social,1/29/2024
12,FAQ Page,Clear return receive buy.,category,3623,1.68,50.13,0.12,25-34,Tablet,Paid Search,4/22/2024
13,Checkout Page,Authority us member summer.,tag/blog/posts,8566,1.31,67.59,0.77,18-24,Desktop,Organic Search,4/23/2024
14,Product Page,Claim behind property knowledge.,app,3983,4.47,69.06,1.35,45-54,Tablet,Social,5/25/2024
15,Login Page,Interest behind computer education fast.,tag/tag,3309,6.33,27.36,6.97,45-54,Tablet,Paid Search,2/28/2024
16,Home Page,Realize minute beyond tell.,blog/explore,7941,5.52,57.52,8.36,45-54,Mobile,Social,5/13/2024
17,Blog Page,Friend strong always case physical.,main,4221,3.47,77.35,2.31,18-24,Mobile,Social,1/14/2024
18,Category Page,Environmental growth grow impact shoulder.,main/main/wp-content,3747,9.73,77.15,4.57,55+,Desktop,Direct,2/20/2024
19,Account Page,How government production economy drop.,category/tag,5348,2.01,76.74,7.45,45-54,Desktop,Organic Search,3/6/2024
20,Category Page,Who whether hundred.,category,5352,1.63,48.48,3.21,25-34,Desktop,Referral,5/28/2024
21,FAQ Page,Another rise happy month little kid rate.,category/list,509,5.19,34.59,2.34,55+,Tablet,Referral,1/8/2024
22,Category Page,Inside final his age great want management.,posts,6807,6.37,71.75,4.06,25-34,Mobile,Paid Search,4/26/2024
23,Home Page,Range positive south believe.,app,2742,8.87,29.06,3.48,18-24,Mobile,Referral,1/4/2024
24,FAQ Page,Save let blue offer summer left.,tag/tag/tags,5018,5.62,22.07,4.85,35-44,Desktop,Organic Search,1/24/2024
25,Account Page,Once board arrive yet beyond.,category/blog,4819,7.62,33.4,7.31,35-44,Tablet,Referral,2/8/2024
26,FAQ Page,Response them prevent war hospital condition big type.,search,3437,9.17,31.8,3.74,35-44,Mobile,Organic Search,4/13/2024
27,Checkout Page,Develop describe kid tax open.,tag,7799,4.19,35.08,1.06,25-34,Tablet,Direct,1/26/2024
28,Checkout Page,Else read in day commercial man spring.,blog,9777,2.3,45.26,8.33,18-24,Desktop,Referral,1/24/2024
29,Product Page,Fish dog shake budget environment explain listen.,main/blog/category,3645,6.19,50.41,5.12,55+,Tablet,Direct,1/14/2024
30,Blog Page,Data agree much cold across sometimes floor senior.,list/search,4966,5.59,75.33,4.51,25-34,Mobile,Social,6/9/2024
31,Search Page,Reduce a bad professional right.,app,8811,3.44,23.43,0.16,45-54,Tablet,Social,5/21/2024
32,FAQ Page,Language would design.,blog/wp-content/app,4902,8.36,76.46,1.21,35-44,Mobile,Paid Search,3/19/2024
33,Search Page,Her least the set.,posts,9795,3.14,64.43,9.63,18-24,Mobile,Direct,6/16/2024
34,Blog Page,Painting doctor response throughout.,blog/app/blog,8147,8.82,42.06,7.85,55+,Tablet,Paid Search,6/1/2024
35,Account Page,Gun management our figure technology contain.,posts,4173,6.92,52.31,3.35,55+,Mobile,Direct,2/24/2024
36,Login Page,Drug east environment she.,tag/posts,1551,3.83,43.33,1.28,35-44,Tablet,Referral,3/14/2024
37,Search Page,Ground my fire once treatment both sing world.,category/search,3087,4.2,55.43,8.31,18-24,Tablet,Social,4/22/2024
38,Search Page,Car bag affect morning difference worker possible every.,explore/main,7281,4.42,73.56,5.31,18-24,Tablet,Referral,5/29/2024
39,Product Page,Man reflect crime what produce become.,explore/tag/posts,976,4.45,47.33,4.81,35-44,Tablet,Organic Search,4/19/2024
40,Checkout Page,Development its animal soon.,categories,8198,6.25,31.51,3.75,45-54,Desktop,Direct,2/6/2024
41,Account Page,Good health seek.,app/explore/posts,7419,8.85,72.74,4.12,45-54,Tablet,Referral,3/13/2024
42,Category Page,Street although floor executive kind prevent certainly themselves.,wp-content,6870,5.25,75.11,0.53,55+,Tablet,Direct,3/14/2024
43,Login Page,Republican bar have.,wp-content/main,8602,3.56,49.72,5.89,25-34,Desktop,Direct,4/22/2024
